"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000163013.10",97.2,-0.1335125,0.3039505,-0.4392573,0.6604751,0.9745051
"ENSG00000258954.1",0.1616705,-0.4819603,1.097217,-0.4392572,0.6604752,NA
"ENSG00000147684.6",11337.64,0.104045,0.2368705,0.4392485,0.6604815,0.9745051
"ENSG00000237939.1",0.3312013,-0.3358889,0.7647396,-0.4392199,0.6605022,NA
"ENSG00000233354.1",0.2686106,-0.353711,0.8054278,-0.4391591,0.6605462,NA
"ENSG00000143126.7",536.4625,0.1121374,0.2553843,0.4390928,0.6605943,0.9745051
"ENSG00000260001.5",84.55114,-0.1703996,0.3880734,-0.4390912,0.6605954,0.9745051
"ENSG00000167747.12",2231.291,-0.08313498,0.1893524,-0.439049,0.660626,0.9745051
"ENSG00000111371.14",2424.163,-0.1489869,0.3393668,-0.4390145,0.660651,0.9745051
"ENSG00000065883.13",1720.08,-0.03840289,0.08747777,-0.4390017,0.6606603,0.9745051
"ENSG00000207087.1",0.32738,-0.3266612,0.7441064,-0.438998,0.660663,NA
"ENSG00000212128.2",0.3166743,0.3145095,0.7165179,0.4389416,0.6607039,NA
"ENSG00000233144.1",1.388838,0.2044441,0.4658038,0.438906,0.6607297,NA
"ENSG00000131171.11",1524.581,0.09149328,0.2084672,0.4388857,0.6607443,0.9745734
"ENSG00000154582.15",2384.099,-0.07776898,0.1772517,-0.4387489,0.6608435,0.9745821
"ENSG00000255302.3",4212.024,0.05882479,0.1340757,0.438743,0.6608477,0.9745821
"ENSG00000186399.10",7.865861,0.142318,0.3244122,0.4386949,0.6608827,0.9745821
"ENSG00000257252.4",5.193698,-0.138791,0.3163928,-0.4386669,0.6609029,0.9745821
"ENSG00000125375.13",693.6893,0.0554091,0.1263269,0.4386169,0.6609391,0.9745821
"ENSG00000235881.2",0.1358818,0.7921172,1.806249,0.4385427,0.6609929,NA
"ENSG00000279085.1",0.8866267,0.2112992,0.4818286,0.438536,0.6609978,NA
"ENSG00000232411.1",1.226635,0.2093331,0.4773763,0.4385075,0.6610184,NA
"ENSG00000261221.3",662.6598,-0.06702494,0.1528601,-0.4384724,0.6610438,0.9746591
"ENSG00000134489.6",3.052443,0.1548462,0.3531763,0.4384389,0.6610682,0.9746591
"ENSG00000279230.1",0.2377284,0.3728779,0.8506023,0.4383693,0.6611186,NA
"ENSG00000224679.1",0.2949348,-0.7129647,1.626576,-0.4383225,0.6611525,NA
"ENSG00000224215.1",0.3836983,0.2936904,0.6700436,0.4383154,0.6611577,NA
"ENSG00000134830.5",420.7474,0.1683108,0.3839989,0.4383107,0.6611611,0.9746591
"ENSG00000269321.1",0.3317584,0.3598577,0.8210333,0.4382985,0.6611699,NA
"ENSG00000280246.1",0.2551017,0.3002082,0.685034,0.4382384,0.6612135,NA
"ENSG00000188505.4",12.69723,-0.2137302,0.4877488,-0.4381974,0.6612432,0.9746591
"ENSG00000275695.1",0.4306124,-0.2396306,0.5468642,-0.4381904,0.6612483,NA
"ENSG00000123136.13",2629.708,0.07802614,0.1780782,0.4381565,0.6612728,0.9746591
"ENSG00000168393.11",1196.375,-0.07684591,0.1754136,-0.4380841,0.6613253,0.9746591
"ENSG00000224387.1",2.280477,-0.2111073,0.4819633,-0.4380152,0.6613752,0.9746591
"ENSG00000227758.1",1.094395,0.2547307,0.5815857,0.4379934,0.6613911,NA
"ENSG00000259099.2",0.4170666,-0.3277246,0.7482597,-0.4379824,0.6613991,NA
"ENSG00000148606.11",948.5072,0.0445615,0.1017441,0.4379764,0.6614034,0.9746591
"ENSG00000258177.1",0.7015209,-0.2506584,0.5723548,-0.4379424,0.6614281,NA
"ENSG00000275964.1",95.74658,-0.08261629,0.1886465,-0.4379422,0.6614282,0.9746591
"ENSG00000130540.12",44.45461,0.3214572,0.7340317,0.4379338,0.6614343,0.9746591
"ENSG00000260509.2",0.8948948,0.1829932,0.4178688,0.4379202,0.6614441,NA
"ENSG00000234118.1",6.190011,0.1195894,0.27309,0.437912,0.6614501,0.9746591
"ENSG00000185946.14",330.5342,-0.08956016,0.2045165,-0.4379117,0.6614503,0.9746591
"ENSG00000239701.1",0.6010424,0.2748567,0.6276779,0.4378946,0.6614627,NA
"ENSG00000272848.1",4.299552,0.1563339,0.3570348,0.4378674,0.6614824,0.9746591
"ENSG00000122861.14",405.1805,-0.1033746,0.2361468,-0.4377556,0.6615634,0.9747228
"ENSG00000188782.6",0.2457101,-0.4553606,1.040415,-0.4376723,0.6616239,NA
"ENSG00000125247.14",760.8299,0.06686083,0.1527792,0.4376304,0.6616542,0.9747823
"ENSG00000279251.1",0.1142408,-0.5628133,1.286315,-0.4375391,0.6617204,NA
"ENSG00000188647.11",1246.244,-0.0582541,0.1331687,-0.4374459,0.661788,0.9747823
"ENSG00000102978.11",2553.735,-0.05987427,0.1368813,-0.4374174,0.6618087,0.9747823
"ENSG00000250442.1",0.1931891,-0.4071853,0.9309085,-0.4374064,0.6618166,NA
"ENSG00000248991.1",0.2004962,-0.6233319,1.425072,-0.4374038,0.6618185,NA
"ENSG00000223662.1",0.2986289,-0.3795363,0.8677159,-0.4373969,0.6618235,NA
"ENSG00000170035.14",1540.936,0.04700503,0.1074668,0.4373913,0.6618276,0.9747823
"ENSG00000137563.10",10109.74,-0.1385802,0.3168337,-0.4373911,0.6618278,0.9747823
"ENSG00000228757.1",0.2393789,-0.5519165,1.26184,-0.4373901,0.6618285,NA
"ENSG00000259138.1",2.687456,-0.119639,0.2735473,-0.4373613,0.6618493,0.9747823
"ENSG00000235275.3",2.23622,0.1521642,0.3479628,0.4373001,0.6618938,0.9747823
"ENSG00000255410.1",0.253256,0.3857198,0.8820831,0.4372829,0.6619062,NA
"ENSG00000258548.4",1.754513,-0.392884,0.89849,-0.4372714,0.6619145,NA
"ENSG00000164631.17",726.0062,-0.05399305,0.1234991,-0.4371939,0.6619707,0.9747823
"ENSG00000207757.1",1.262491,0.1604881,0.3671079,0.4371687,0.661989,NA
"ENSG00000105246.5",123.1457,-0.1276414,0.2919754,-0.437165,0.6619917,0.9747823
"ENSG00000123737.11",865.7168,-0.04999908,0.1143746,-0.4371519,0.6620012,0.9747823
"ENSG00000211792.2",2.262218,-0.197915,0.4527633,-0.4371269,0.6620193,0.9747823
"ENSG00000254041.1",0.4480309,0.4489385,1.027109,0.4370895,0.6620465,NA
"ENSG00000222035.3",1.303775,0.2519055,0.5763672,0.4370574,0.6620698,NA
"ENSG00000007264.12",121.6546,0.09890147,0.2263143,0.4370093,0.6621046,0.9748522
"ENSG00000204531.14",104.2689,0.1195991,0.2737384,0.4369102,0.6621765,0.9748626
"ENSG00000135052.15",5349.346,0.1443646,0.3304329,0.4368954,0.6621872,0.9748626
"ENSG00000157219.3",0.1526026,-0.8540403,1.954981,-0.4368535,0.6622176,NA
"ENSG00000234239.1",0.2923634,-0.4419876,1.011809,-0.436829,0.6622354,NA
"ENSG00000099625.11",20.0267,-0.1271847,0.291173,-0.4368013,0.6622555,0.9749019
"ENSG00000256862.1",1.977898,-0.1680435,0.3847552,-0.4367544,0.6622894,0.9749019
"ENSG00000217327.3",0.1949518,0.356441,0.8161564,0.4367312,0.6623063,NA
"ENSG00000255292.5",0.9679325,0.1692631,0.3876066,0.4366878,0.6623377,NA
"ENSG00000185344.12",670.1657,0.03858698,0.08837845,0.4366107,0.6623937,0.9749997
"ENSG00000230829.3",2.493911,0.2225665,0.5099241,0.4364698,0.6624959,0.9750518
"ENSG00000274258.1",0.3782224,-0.3125105,0.7161112,-0.4363993,0.662547,NA
